,ZCTA5,STATE,COUNTY,state_fips,state,county_fips,county,class_code
0,00601,72,001,72,PR,001,Adjuntas Municipio,H1
1,00601,72,141,72,PR,141,Utuado Municipio,H1
2,00602,72,003,72,PR,003,Aguada Municipio,H1
3,00603,72,005,72,PR,005,Aguadilla Municipio,H1
4,00606,72,093,72,PR,093,Maricao Municipio,H1
5,00606,72,121,72,PR,121,Sabana Grande Municipio,H1
6,00606,72,153,72,PR,153,Yauco Municipio,H1
7,00610,72,003,72,PR,003,Aguada Municipio,H1
8,00610,72,011,72,PR,011,Anasco Municipio,H1
9,00612,72,013,72,PR,013,Arecibo Municipio,H1
10,00612,72,017,72,PR,017,Barceloneta Municipio,H1
11,00616,72,013,72,PR,013,Arecibo Municipio,H1
12,00617,72,017,72,PR,017,Barceloneta Municipio,H1
13,00617,72,054,72,PR,054,Florida Municipio,H1
14,00622,72,023,72,PR,023,Cabo Rojo Municipio,H1
15,00623,72,023,72,PR,023,Cabo Rojo Municipio,H1
16,00624,72,111,72,PR,111,Penuelas Municipio,H1
17,00624,72,113,72,PR,113,Ponce Municipio,H1
18,00627,72,027,72,PR,027,Camuy Municipio,H1
19,00631,72,001,72,PR,001,Adjuntas Municipio,H1
20,00631,72,081,72,PR,081,Lares Municipio,H1
21,00637,72,121,72,PR,121,Sabana Grande Municipio,H1
22,00637,72,153,72,PR,153,Yauco Municipio,H1
23,00638,72,039,72,PR,039,Ciales Municipio,H1
24,00638,72,091,72,PR,091,Manati Municipio,H1
25,00641,72,001,72,PR,001,Adjuntas Municipio,H1
26,00641,72,141,72,PR,141,Utuado Municipio,H1
27,00646,72,051,72,PR,051,Dorado Municipio,H1
28,00646,72,143,72,PR,143,Vega Alta Municipio,H1
29,00647,72,055,72,PR,055,Guanica Municipio,H1
30,00647,72,079,72,PR,079,Lajas Municipio,H1
31,00650,72,013,72,PR,013,Arecibo Municipio,H1
32,00650,72,017,72,PR,017,Barceloneta Municipio,H1
33,00650,72,039,72,PR,039,Ciales Municipio,H1
34,00650,72,054,72,PR,054,Florida Municipio,H1
35,00650,72,141,72,PR,141,Utuado Municipio,H1
36,00652,72,013,72,PR,013,Arecibo Municipio,H1
37,00653,72,055,72,PR,055,Guanica Municipio,H1
38,00656,72,059,72,PR,059,Guayanilla Municipio,H1
39,00659,72,065,72,PR,065,Hatillo Municipio,H1
40,00660,72,067,72,PR,067,Hormigueros Municipio,H1
41,00662,72,071,72,PR,071,Isabela Municipio,H1
42,00664,72,073,72,PR,073,Jayuya Municipio,H1
43,00664,72,141,72,PR,141,Utuado Municipio,H1
44,00667,72,079,72,PR,079,Lajas Municipio,H1
45,00667,72,125,72,PR,125,San German Municipio,H1
46,00669,72,081,72,PR,081,Lares Municipio,H1
47,00669,72,083,72,PR,083,Las Marias Municipio,H1
48,00669,72,131,72,PR,131,San Sebastian Municipio,H1
49,00670,72,011,72,PR,011,Anasco Municipio,H1
50,00670,72,083,72,PR,083,Las Marias Municipio,H1
51,00674,72,091,72,PR,091,Manati Municipio,H1
52,00674,72,145,72,PR,145,Vega Baja Municipio,H1
53,00676,72,003,72,PR,003,Aguada Municipio,H1
54,00676,72,099,72,PR,099,Moca Municipio,H1
55,00677,72,003,72,PR,003,Aguada Municipio,H1
56,00677,72,117,72,PR,117,Rincon Municipio,H1
57,00678,72,071,72,PR,071,Isabela Municipio,H1
58,00678,72,115,72,PR,115,Quebradillas Municipio,H1
59,00678,72,131,72,PR,131,San Sebastian Municipio,H1
60,00680,72,011,72,PR,011,Anasco Municipio,H1
61,00680,72,097,72,PR,097,Mayaguez Municipio,H1
62,00680,72,125,72,PR,125,San German Municipio,H1
63,00682,72,097,72,PR,097,Mayaguez Municipio,H1
64,00683,72,125,72,PR,125,San German Municipio,H1
65,00685,72,071,72,PR,071,Isabela Municipio,H1
66,00685,72,131,72,PR,131,San Sebastian Municipio,H1
67,00687,72,101,72,PR,101,Morovis Municipio,H1
68,00688,72,013,72,PR,013,Arecibo Municipio,H1
69,00690,72,005,72,PR,005,Aguadilla Municipio,H1
70,00692,72,143,72,PR,143,Vega Alta Municipio,H1
71,00693,72,143,72,PR,143,Vega Alta Municipio,H1
72,00693,72,145,72,PR,145,Vega Baja Municipio,H1
73,00694,72,145,72,PR,145,Vega Baja Municipio,H1
74,00698,72,059,72,PR,059,Guayanilla Municipio,H1
75,00698,72,153,72,PR,153,Yauco Municipio,H1
76,00703,72,007,72,PR,007,Aguas Buenas Municipio,H1
77,00703,72,045,72,PR,045,Comerio Municipio,H1
78,00704,72,057,72,PR,057,Guayama Municipio,H1
79,00704,72,123,72,PR,123,Salinas Municipio,H1
